Alloys,e/a,delta_r,delta_X,delta_H,Omega,sws,B,c11,c12,c,c44,BV,GV,EV,vV,BR,GR,ER,vR,BH,GH,EH,vH,AVR
VMoHfW,5.25,0.066194098,0.225643133,-3.4,9.559510799,2.991,195.56,318.61,134.03,92.29,73.94,195.56,81.28,214.16,0.32,195.56,80.33,211.96,0.32,195.56,80.8,213.06,0.32,0.01
VMoTaW,5.5,0.028737255,0.186973805,-3.575,9.723458567,2.957,221.53,383.05,140.76,121.14,81.55,221.53,97.39,254.82,0.31,221.53,93.82,246.63,0.31,221.53,95.6,250.74,0.31,0.02
VHfTaW,5,0.063184361,0.235728077,-3.725,9.030231778,3.038,181.66,273.99,135.5,69.24,80.45,181.66,75.97,200.03,0.32,181.66,75.56,199.08,0.32,181.66,75.77,199.55,0.32,0
CrZrNbMo,5.25,0.090129539,0.177648101,-6.7,4.280833329,2.999,154.41,270.07,96.59,86.74,47.42,154.41,63.15,166.72,0.32,154.41,57.92,154.46,0.33,154.41,60.54,160.62,0.33,0.04
CrZrNbHf,4.75,0.093537673,0.108166862,-5.225,5.274226278,3.091,132.51,195.55,100.98,47.28,53.41,132.51,50.96,135.51,0.33,132.51,50.78,135.08,0.33,132.51,50.87,135.3,0.33,0
CrZrNbTa,5,0.086703284,0.082085384,-4.825,6.179660095,3.051,141.87,223.85,100.88,61.48,50.73,141.87,55.03,146.18,0.33,141.87,54.54,145.04,0.33,141.87,54.79,145.61,0.33,0
CrZrNbW,5.25,0.08932356,0.21887063,-7.925,3.909631818,3.009,163.91,276.23,107.75,84.24,55.81,163.91,67.18,177.31,0.32,163.91,64.52,171.1,0.33,163.91,65.85,174.21,0.32,0.02
CrZrMoHf,5,0.099544059,0.214710491,-7.825,3.57552953,3.045,147.3,233.14,104.38,64.38,55.16,147.3,58.85,155.8,0.32,147.3,58.51,155.01,0.32,147.3,58.68,155.4,0.32,0
CrZrMoTa,5.25,0.090129539,0.186484355,-6.675,4.529969473,3.007,161.26,271.85,105.96,82.94,57.18,161.26,67.49,177.67,0.32,161.26,65.29,172.59,0.32,161.26,66.39,175.14,0.32,0.02
CrZrMoW,5.5,0.091309958,0.216299279,-6.525,4.812953016,2.97,186.58,340.48,109.63,115.42,74.02,186.58,90.58,233.89,0.29,186.58,86.42,224.58,0.3,186.58,88.5,229.25,0.3,0.02
CrZrHfTa,4.75,0.093537673,0.099799794,-5.65,5.152884112,3.097,126.19,186.45,96.06,45.19,65.36,126.19,57.3,149.29,0.3,126.19,55.46,145.13,0.31,126.19,56.38,147.21,0.31,0.02
CrZrHfW,5,0.098418427,0.256693976,-9,3.364529714,3.053,155.75,240.43,113.41,63.51,65.45,155.75,64.67,170.43,0.32,155.75,64.66,170.4,0.32,155.75,64.67,170.41,0.32,0
CrZrTaW,5.25,0.08932356,0.228685095,-7.875,4.132037471,3.015,170.5,278.87,116.32,81.27,66.43,170.5,72.37,190.19,0.31,170.5,71.66,188.57,0.32,170.5,72.02,189.38,0.31,0
CrNbMoHf,5.25,0.080337299,0.183850538,-5.475,5.437581252,2.996,174.62,289.87,116.99,86.44,58.54,174.62,69.7,184.54,0.32,174.62,67.22,178.72,0.33,174.62,68.46,181.64,0.33,0.02
CrNbMoTa,5.5,0.053829733,0.147257101,-6.025,5.31614689,2.96,195.43,354.86,115.71,119.57,70.68,195.43,90.24,234.61,0.3,195.43,84.5,221.57,0.31,195.43,87.37,228.12,0.31,0.03
CrNbMoW,5.75,0.04802359,0.166341985,-5,6.639351442,2.931,224.85,428.2,123.17,152.52,98.43,224.85,120.06,305.76,0.27,224.85,114.7,294.08,0.28,224.85,117.38,299.94,0.28,0.02
CrNbHfTa,5,0.077821557,0.090202313,-4.1,7.538057076,3.045,161.16,245.48,119,63.24,64.29,161.16,63.87,169.25,0.32,161.16,63.87,169.24,0.32,161.16,63.87,169.25,0.32,0
CrNbHfW,5.25,0.07961751,0.224542481,-6.575,4.878023758,3.006,181.48,293.84,125.3,84.27,67.63,181.48,74.29,196.1,0.32,181.48,73.43,194.11,0.32,181.48,73.86,195.11,0.32,0.01
CrNbTaW,5.5,0.053638462,0.19084593,-7.15,4.801683058,2.969,205.21,356.95,129.34,113.8,75.72,205.21,90.95,237.74,0.31,205.21,87.42,229.65,0.31,205.21,89.19,233.7,0.31,0.02
CrMoHfTa,5.25,0.080337299,0.192288419,-5.4,5.801244497,3.002,180.96,292.2,125.34,83.43,69.37,180.96,74.99,197.67,0.32,180.96,74.38,196.26,0.32,180.96,74.69,196.96,0.32,0
CrMoHfW,5.5,0.080481938,0.222616666,-4.625,7.025663239,2.967,206.28,356.54,131.15,112.69,82.3,206.28,94.46,245.85,0.3,206.28,92.25,240.85,0.31,206.28,93.35,243.35,0.3,0.01
CrMoTaW,5.75,0.04802359,0.183256376,-4.45,7.809600031,2.937,233.82,432.19,134.63,148.78,104.42,233.82,122.16,312.13,0.28,233.82,118.56,304.25,0.28,233.82,120.36,308.2,0.28,0.01
CrHfTaW,5.25,0.07961751,0.234071977,-6.475,5.193663187,3.012,187.65,296.41,133.26,81.58,78.8,187.65,79.91,209.93,0.31,187.65,79.89,209.88,0.31,187.65,79.9,209.9,0.31,0
ZrNbMoHf,4.75,0.065070456,0.216047476,-2.075,14.27514404,3.129,150.27,225,112.91,56.05,58.2,150.27,57.34,152.6,0.33,150.27,57.32,152.55,0.33,150.27,57.33,152.58,0.33,0
ZrNbMoTa,5,0.060796584,0.188914992,-2.55,12.50194178,3.092,156.47,249.98,109.72,70.13,55.89,156.47,61.59,163.33,0.33,156.47,60.83,161.56,0.33,156.47,61.21,162.44,0.33,0.01
ZrNbMoW,5.25,0.066789528,0.22275005,-6.4,5.163581835,3.053,177.54,302.14,115.23,93.46,61.65,177.54,74.37,195.78,0.32,177.54,71.37,188.8,0.32,177.54,72.87,192.3,0.32,0.02
ZrNbHfTa,4.5,0.050712085,0.0859766,3.3,9.320060771,3.177,145.36,196.87,119.61,38.63,70.29,145.36,57.63,152.71,0.32,145.36,52.94,141.62,0.34,145.36,55.28,147.19,0.33,0.04
ZrNbHfW,4.75,0.062779486,0.25956392,-4.05,7.882264874,3.134,158.26,232.43,121.18,55.62,68.59,158.26,63.4,167.81,0.32,158.26,62.74,166.25,0.32,158.26,63.07,167.03,0.32,0.01
ZrNbTaW,5,0.058896346,0.232392003,-4.55,7.512571516,3.097,166.38,260.24,119.45,70.4,66.92,166.38,68.31,180.27,0.32,166.38,68.27,180.17,0.32,166.38,68.29,180.22,0.32,0
ZrMoHfTa,4.75,0.065070456,0.221088606,-2.425,12.85644817,3.133,155.9,228.07,119.81,54.13,69.7,155.9,63.47,167.65,0.32,155.9,62.5,165.41,0.32,155.9,62.99,166.53,0.32,0.01
ZrMoHfW,5,0.073673256,0.267345136,-6.525,4.956913259,3.093,171.67,268.5,123.25,72.63,70.73,171.67,71.49,188.32,0.32,171.67,71.48,188.29,0.32,171.67,71.48,188.31,0.32,0
ZrMoTaW,5.25,0.066789528,0.235413468,-6.275,5.51440425,3.057,184.36,305.32,123.87,90.72,71.56,184.36,79.22,207.89,0.31,184.36,78.16,205.45,0.31,184.36,78.69,206.67,0.31,0.01
ZrHfTaW,4.75,0.062779486,0.266608474,-4.375,7.652373867,3.137,164.46,235.72,128.83,53.45,79.91,164.46,69.32,182.35,0.32,164.46,66.7,176.27,0.32,164.46,68.01,179.31,0.32,0.02
NbMoHfTa,5,0.050023641,0.194549465,-1.95,16.9072439,3.086,176.73,273.07,128.56,72.26,69.65,176.73,70.69,187.13,0.32,176.73,70.67,187.08,0.32,176.73,70.68,187.1,0.32,0
NbMoHfW,5.25,0.055725096,0.228888429,-5.175,6.596347399,3.048,196.23,321.39,133.65,93.87,73.51,196.23,81.65,215.12,0.32,196.23,80.49,212.43,0.32,196.23,81.07,213.78,0.32,0.01
NbMoTaW,5.5,0.023393018,0.190916694,-6.625,5.493603842,3.013,218.38,383.84,135.65,124.09,80.37,218.38,97.86,255.43,0.31,218.38,93.56,245.6,0.31,218.38,95.71,250.53,0.31,0.02
NbHfTaW,5,0.047956627,0.237645984,-3.825,9.221274365,3.09,186.11,282.01,138.16,71.92,80.56,186.11,77.1,203.25,0.32,186.11,76.87,202.7,0.32,186.11,76.99,202.97,0.32,0
MoHfTaW,5.25,0.055725096,0.241243061,-5,7.138412144,3.052,202.26,323.85,141.46,91.19,83.78,202.26,86.75,227.69,0.31,202.26,86.6,227.34,0.31,202.26,86.67,227.52,0.31,0
