Alloy,e/a,delta_r,delta_X,delta_H,Omega,sws,B,c11,c12,c,c44,BV,GV,EV,vV,BR,GR,ER,vR,BH,GH,EH,vH,AVR,Compostion
TiVZrMoW,5,0.399678308,0.106764929,-5.274677249,6.488440438,3.011,157.99,254.81,109.57,72.62,58.95,157.99,64.42,170.13,0.32,157.99,63.75,168.57,0.32,157.99,64.08,169.35,0.32,0.01,1520252020
TiVZrMoW,5.05,0.387443867,0.101453191,-4.792330247,7.149118681,2.988,164.64,267.58,113.17,77.2,59.73,164.64,66.72,176.34,0.32,164.64,65.67,173.9,0.32,164.64,66.2,175.12,0.32,0.01,1525202020
TiVZrMoW,4.9,0.372090043,0.098914104,-4.738736961,6.950377285,3,152.72,241.06,108.56,66.25,58.62,152.72,61.67,163.06,0.32,152.72,61.45,162.55,0.32,152.72,61.56,162.8,0.32,0,2520202015
TiVZrMoW,4.9,0.385085705,0.098614147,-4.993451247,6.702053858,3.002,154.53,242.7,110.45,66.13,60.73,154.53,62.89,166.14,0.32,154.53,62.78,165.88,0.32,154.53,62.84,166.01,0.32,0,2520201520
TiVZrMoW,5,0.379795669,0.090822629,-4.697655329,7.232580668,2.983,165.19,265.02,115.28,74.87,62.32,165.19,67.34,177.85,0.32,165.19,66.8,176.59,0.32,165.19,67.07,177.22,0.32,0,2520152020
TiVZrMoW,4.95,0.392498089,0.096864596,-5.161209184,6.575913002,3.006,158.3,252.07,111.41,70.33,61.49,158.3,65.03,171.58,0.32,158.3,64.74,170.93,0.32,158.3,64.89,171.26,0.32,0,2515202020
TiVZrTaW,4.85,0.38490908,0.095807098,-4.776473104,7.414523321,3.03,155.19,235.59,114.99,60.3,67.99,155.19,64.92,170.92,0.32,155.19,64.69,170.4,0.32,155.19,64.8,170.66,0.32,0,2020201525
TiVZrTaW,4.75,0.322147482,0.093653617,-3.237542517,10.7728624,3.048,146.6,216.92,111.44,52.74,67.43,146.6,61.55,161.98,0.32,146.6,60.67,159.94,0.32,146.6,61.11,160.96,0.32,0.01,2020202515
TiVZrTaW,4.9,0.378130599,0.087628477,-4.529575255,7.988960328,3.021,162.47,248.11,119.64,64.24,70.93,162.47,68.25,179.6,0.32,162.47,68.09,179.23,0.32,162.47,68.17,179.42,0.32,0,2020152025
TiVZrTaW,4.85,0.35124742,0.086802938,-3.87611678,9.266429128,3.03,157.9,237.87,117.92,59.97,70.51,157.9,66.29,174.46,0.32,157.9,65.88,173.51,0.32,157.9,66.09,173.98,0.32,0,2020152520
TiVZrTaW,4.7,0.327635087,0.100123674,-3.449267747,9.887975293,3.058,139.95,204.47,107.69,48.39,64.95,139.95,58.32,153.63,0.32,139.95,57.13,150.86,0.32,139.95,57.73,152.25,0.32,0.01,2020252015
TiVZrTaW,4.75,0.363473176,0.101433476,-4.331755732,7.935606708,3.048,144.02,214.13,108.96,52.58,65.06,144.02,60.07,158.21,0.32,144.02,59.42,156.71,0.32,144.02,59.74,157.46,0.32,0.01,2020251520
TiVZrTaW,4.85,0.387379336,0.092372886,-4.706519589,7.680853717,3.043,156.55,236.79,116.44,60.18,70.15,156.55,66.16,173.97,0.31,156.55,65.79,173.11,0.32,156.55,65.97,173.54,0.32,0,2015202025
TiVZrTaW,4.8,0.359394978,0.091130401,-3.931828231,9.125844464,3.052,152.34,227.05,114.99,56.03,69.82,152.34,64.31,169.12,0.31,152.34,63.56,167.41,0.32,152.34,63.94,168.27,0.32,0.01,2015202520
TiVZrTaW,4.75,0.365172562,0.097549987,-4.133180445,8.494651411,3.062,145.66,215.39,110.79,52.3,67.18,145.66,61.23,161.11,0.32,145.66,60.32,159,0.32,145.66,60.77,160.06,0.32,0.01,2015252020
TiVZrTaW,4.75,0.320787702,0.09707085,-3.446083081,9.907707385,3.034,145.19,214.7,110.44,52.13,65.42,145.19,60.1,158.44,0.32,145.19,59.36,156.73,0.32,145.19,59.73,157.59,0.32,0.01,2025202015
TiVZrTaW,4.8,0.355503516,0.097993622,-4.210695326,8.172431324,3.025,149.46,224.53,111.92,56.31,65.49,149.46,61.82,162.98,0.32,149.46,61.48,162.19,0.32,149.46,61.65,162.59,0.32,0,2025201520
TiVZrTaW,4.85,0.349042977,0.089777503,-3.954170493,8.897680116,3.016,156.72,236.91,116.62,60.15,68.28,156.72,65.03,171.38,0.32,156.72,64.78,170.8,0.32,156.72,64.9,171.09,0.32,0,2025152020
TiVZrTaW,4.9,0.385915794,0.095707889,-4.712516755,7.705166459,3.034,159.26,243.75,117.01,63.37,69.22,159.26,66.88,176.01,0.32,159.26,66.76,175.72,0.32,159.26,66.82,175.86,0.32,0,1520202025
TiVZrTaW,4.85,0.358357364,0.094715363,-4.010825397,8.986152946,3.043,154.91,233.85,115.44,59.2,68.93,154.91,65.04,171.17,0.32,154.91,64.68,170.34,0.32,154.91,64.86,170.75,0.32,0,1520202520
TiVZrTaW,4.8,0.364256434,0.101453191,-4.221985891,8.35402239,3.052,148.08,221.97,111.14,55.41,66.2,148.08,61.88,162.95,0.32,148.08,61.42,161.87,0.32,148.08,61.65,162.41,0.32,0,1520252020
TiVZrTaW,4.85,0.356388482,0.097871089,-4.122552469,8.564372063,3.029,153.56,232.71,113.98,59.36,66.72,153.56,63.78,168.07,0.32,153.56,63.57,167.59,0.32,153.56,63.68,167.83,0.32,0,1525202020
TiVZrTaW,4.7,0.321463839,0.093680307,-3.337022676,10.18337259,3.044,142.49,207.8,109.84,48.98,66.22,142.49,59.33,156.29,0.32,142.49,58.05,153.33,0.32,142.49,58.69,154.81,0.32,0.01,2520202015
TiVZrTaW,4.75,0.356656698,0.094841974,-4.174634921,8.204545181,3.034,146.79,217.5,111.43,53.04,66.56,146.79,61.15,161.08,0.32,146.79,60.4,159.34,0.32,146.79,60.77,160.21,0.32,0.01,2520201520
TiVZrTaW,4.8,0.350326633,0.086964073,-3.929410431,8.912865488,3.025,153.84,229.61,115.96,56.82,69.1,153.84,64.19,169.06,0.32,153.84,63.6,167.7,0.32,153.84,63.9,168.38,0.32,0,2520152020
TiVZrTaW,4.75,0.358578792,0.091130401,-4.007494898,8.730091733,3.048,148.22,218.76,112.94,52.91,68.55,148.22,62.29,163.92,0.32,148.22,61.3,161.62,0.32,148.22,61.8,162.77,0.32,0.01,2515202020
TiVNbMoTa,4.95,0.218245275,0.049221438,-1.875313492,18.63048777,3.002,164.53,257.28,118.15,69.57,60.53,164.53,64.14,170.3,0.33,164.53,63.85,169.6,0.33,164.53,63.99,169.95,0.33,0,2020201525
TiVNbMoTa,5.05,0.258145308,0.049646249,-2.666686508,12.90550548,2.981,170.78,275.7,118.32,78.69,57.11,170.78,65.74,174.79,0.33,170.78,64.14,171.02,0.33,170.78,64.94,172.91,0.33,0.01,2020202515
TiVNbMoTa,5,0.244047127,0.049558047,-2.310984127,15.16017278,2.993,168.99,267.23,119.87,73.68,61.41,168.99,66.32,175.94,0.33,168.99,65.79,174.7,0.33,168.99,66.05,175.32,0.33,0,2020152025
TiVNbMoTa,5.05,0.26135034,0.049646249,-2.650686508,13.11863348,2.983,172.12,276.52,119.92,78.3,59.87,172.12,67.24,178.48,0.33,172.12,66.09,175.78,0.33,172.12,66.67,177.13,0.33,0.01,2020152520
TiVNbMoTa,5,0.238409312,0.049558047,-2.326984127,14.74785469,2.99,166.03,265.23,116.44,74.4,55.84,166.03,63.26,168.4,0.33,166.03,62.03,165.48,0.33,166.03,62.65,166.94,0.33,0.01,2020252015
TiVNbMoTa,4.95,0.215814735,0.049221438,-1.875313492,18.43934776,3,163.17,256.37,116.56,69.9,57.7,163.17,62.58,166.46,0.33,163.17,62.03,165.16,0.33,163.17,62.3,165.81,0.33,0,2020251520
TiVNbMoTa,5,0.244447847,0.046612766,-2.332599206,15.18104284,3.005,168.67,267.1,119.46,73.82,61.24,168.67,66.27,175.78,0.33,168.67,65.72,174.49,0.33,168.67,65.99,175.14,0.33,0,2015202025
TiVNbMoTa,5.05,0.261913631,0.047116876,-2.739301587,12.83164831,2.995,171.74,276.2,119.51,78.35,59.69,171.74,67.15,178.23,0.33,171.74,65.97,175.45,0.33,171.74,66.56,176.84,0.33,0.01,2015202520
TiVNbMoTa,5,0.241732807,0.046612766,-2.340599206,14.97601167,3.004,167.18,266.07,117.74,74.17,58.5,167.18,64.76,172.07,0.33,167.18,63.9,170.03,0.33,167.18,64.33,171.05,0.33,0.01,2015252020
TiVNbMoTa,5,0.237925934,0.051756642,-2.28790873,14.83523075,2.976,166.64,265.79,117.06,74.37,55.96,166.64,63.32,168.62,0.33,166.64,62.11,165.74,0.33,166.64,62.72,167.18,0.33,0.01,2025202015
TiVNbMoTa,4.95,0.215510441,0.051807335,-1.903238095,17.97105045,2.987,163.48,256.56,116.94,69.81,57.86,163.48,62.64,166.64,0.33,163.48,62.12,165.4,0.33,163.48,62.38,166.02,0.33,0,2025201520
TiVNbMoTa,5,0.240850057,0.051756642,-2.27990873,15.04450636,2.978,168.06,266.71,118.73,73.99,58.8,168.06,64.88,172.44,0.33,168.06,64.06,170.52,0.33,168.06,64.47,171.48,0.33,0.01,2025152020
TiVNbMoTa,5.05,0.242660256,0.048692915,-2.435269841,14.60697514,2.996,171.97,274.64,120.64,77,59.95,171.97,66.77,177.36,0.33,171.97,65.78,175.02,0.33,171.97,66.27,176.19,0.33,0.01,1520202025
TiVNbMoTa,5.1,0.259674797,0.048710882,-2.78215873,12.69172451,2.986,175.26,284.1,120.85,81.62,58.41,175.26,67.7,179.93,0.33,175.26,65.91,175.7,0.33,175.26,66.8,177.82,0.33,0.01,1520202520
TiVNbMoTa,5.05,0.239831191,0.048692915,-2.449269841,14.37713313,2.995,170.45,273.57,118.89,77.34,57.13,170.45,65.21,173.51,0.33,170.45,63.8,170.16,0.33,170.45,64.51,171.84,0.33,0.01,1520252020
TiVNbMoTa,5.05,0.239363218,0.050820763,-2.383194444,14.61782057,2.982,170.82,273.91,119.28,77.32,57.34,170.82,65.33,173.83,0.33,170.82,63.95,170.56,0.33,170.82,64.64,172.2,0.33,0.01,1525202020
TiVNbMoTa,4.95,0.239908316,0.050388491,-2.231206349,15.14024752,2.986,163.25,257.87,115.94,70.96,57.16,163.25,62.68,166.71,0.33,163.25,61.98,165.06,0.33,163.25,62.33,165.88,0.33,0.01,2520202015
TiVNbMoTa,4.9,0.217013824,0.049987498,-1.786349206,19.05705231,2.996,160.34,248.92,116.05,66.44,58.98,160.34,61.96,164.67,0.33,160.34,61.75,164.18,0.33,160.34,61.86,164.42,0.33,0,2520201520
TiVNbMoTa,4.95,0.242715883,0.050388491,-2.229206349,15.31462704,2.987,164.68,258.77,117.63,70.57,59.96,164.68,64.21,170.47,0.33,164.68,63.8,169.51,0.33,164.68,64,169.99,0.33,0,2520152020
TiVNbMoTa,4.95,0.243131137,0.047378793,-2.223821429,15.5209556,3,164.36,258.64,117.22,70.71,59.82,164.36,64.17,170.35,0.33,164.36,63.74,169.34,0.33,164.36,63.96,169.84,0.33,0,2515202020
TiVNbMoW,5.2,0.347154144,0.047357682,-4.216285714,8.605247713,2.961,190.81,314.86,128.78,93.04,66.26,190.81,76.97,203.55,0.32,190.81,74.88,198.66,0.33,190.81,75.93,201.11,0.32,0.01,2020201525
TiVNbMoW,5.2,0.323165592,0.047799059,-3.780222222,9.317294597,2.957,187.12,311.94,124.71,93.62,61.88,187.12,74.58,197.49,0.32,187.12,71.59,190.48,0.33,187.12,73.08,193.99,0.33,0.02,2020202515
TiVNbMoW,5.25,0.346992795,0.046593991,-4.001956349,9.090328178,2.953,195.32,326.24,129.87,98.18,68.65,195.32,80.47,212.25,0.32,195.32,78.04,206.61,0.32,195.32,79.25,209.44,0.32,0.02,2020152025
TiVNbMoW,5.25,0.336190422,0.046784078,-3.810178571,9.408673751,2.951,193.54,324.92,127.85,98.53,66.55,193.54,79.34,209.41,0.32,193.54,76.48,202.74,0.33,193.54,77.91,206.08,0.32,0.02,2020152520
TiVNbMoW,5.15,0.319155135,0.048363209,-3.830519841,9.169651111,2.965,182.03,300.19,122.95,88.62,59.67,182.03,71.25,189.08,0.33,182.03,68.64,182.92,0.33,182.03,69.94,186.01,0.33,0.02,2020252015
TiVNbMoW,5.15,0.332505639,0.048111849,-4.074805556,8.750086228,2.967,184.24,302.1,125.32,88.39,61.94,184.24,72.52,192.34,0.33,184.24,70.37,187.26,0.33,184.24,71.45,189.8,0.33,0.02,2020251520
TiVNbMoW,5.25,0.348202168,0.045307284,-4.447043651,8.265146302,2.966,194.67,325.62,129.2,98.21,68.41,194.67,80.33,211.84,0.32,194.67,77.86,206.09,0.32,194.67,79.09,208.97,0.32,0.02,2015202025
TiVNbMoW,5.25,0.337394057,0.045563143,-4.237079365,8.549544109,2.964,192.92,324.3,127.23,98.54,66.36,192.92,79.23,209.08,0.32,192.92,76.33,202.32,0.33,192.92,77.78,205.7,0.32,0.02,2015202520
TiVNbMoW,5.2,0.336604739,0.04596466,-4.358376984,8.289366315,2.972,188.42,312.86,126.2,93.33,63.85,188.42,75.64,200.14,0.32,188.42,73.08,194.15,0.33,188.42,74.36,197.15,0.33,0.02,2015252020
TiVNbMoW,5.15,0.318186659,0.049626102,-3.538480159,9.820080696,2.952,183.2,301.45,124.08,88.68,59.82,183.2,71.36,189.49,0.33,183.2,68.77,183.37,0.33,183.2,70.07,186.43,0.33,0.02,2025202015
TiVNbMoW,5.15,0.331530919,0.049436828,-3.764952381,9.370246046,2.954,184.92,302.84,125.96,88.44,62.21,184.92,72.7,192.83,0.33,184.92,70.58,187.85,0.33,184.92,71.64,190.34,0.33,0.01,2025201520
TiVNbMoW,5.2,0.334431981,0.048525766,-3.621623016,9.767842642,2.946,189.8,314.29,127.56,93.37,64.29,189.8,75.92,200.97,0.32,189.8,73.44,195.15,0.33,189.8,74.68,198.06,0.33,0.02,2025152020
TiVNbMoW,5.3,0.344149677,0.045343136,-4.184714286,8.82165458,2.958,198.23,334.68,130.01,102.33,67.99,198.23,81.73,215.56,0.32,198.23,78.53,208.11,0.33,198.23,80.13,211.84,0.32,0.02,1520202025
TiVNbMoW,5.3,0.333345166,0.045527464,-3.987936508,9.123950297,2.956,196.43,333.48,127.9,102.79,66.07,196.43,80.76,213.07,0.32,196.43,77.09,204.51,0.33,196.43,78.92,208.8,0.32,0.02,1520202520
TiVNbMoW,5.25,0.332924916,0.046421978,-4.175047619,8.691834017,2.963,191.92,321.46,127.16,97.15,63.16,191.92,76.76,203.19,0.32,191.92,73.44,195.4,0.33,191.92,75.1,199.3,0.33,0.02,1520252020
TiVNbMoW,5.25,0.331811317,0.047273142,-3.771194444,9.522831991,2.951,192.46,322.02,127.68,97.17,63.38,192.46,76.9,203.58,0.32,192.46,73.62,195.88,0.33,192.46,75.26,199.74,0.33,0.02,1525202020
TiVNbMoW,5.1,0.321482503,0.049396356,-3.700777778,9.3460146,2.961,179.31,292.67,122.62,85.02,60.69,179.31,70.42,186.81,0.33,179.31,68.53,182.37,0.33,179.31,69.48,184.59,0.33,0.01,2520202015
TiVNbMoW,5.1,0.334829808,0.049140106,-3.940063492,8.91302708,2.963,181.15,294.23,124.62,84.81,63.1,181.15,71.79,190.23,0.32,181.15,70.3,186.74,0.33,181.15,71.04,188.49,0.33,0.01,2520201520
TiVNbMoW,5.15,0.338075435,0.048692915,-3.862920635,9.116109156,2.955,186.06,305.47,126.35,89.56,64.97,186.06,74.8,197.89,0.32,186.06,72.98,193.63,0.33,186.06,73.89,195.77,0.32,0.01,2520152020
TiVNbMoW,5.15,0.339135297,0.04699734,-4.195821429,8.482528771,2.968,185.41,304.81,125.71,89.55,64.76,185.41,74.68,197.51,0.32,185.41,72.82,193.18,0.33,185.41,73.75,195.35,0.32,0.01,2515202020
TiVNbTaW,5.05,0.343858983,0.048072861,-4.139464286,8.954488327,2.99,180.81,284.54,128.94,77.8,69.48,180.81,72.81,192.57,0.32,180.81,72.58,192.05,0.32,180.81,72.7,192.31,0.32,0,2020201525
TiVNbTaW,4.95,0.288359151,0.048072861,-2.912027778,12.54421875,3.007,170.48,262.86,124.28,69.29,68.25,170.48,68.67,181.61,0.32,170.48,68.66,181.61,0.32,170.48,68.66,181.61,0.32,0,2020202515
TiVNbTaW,5.05,0.346992795,0.048072861,-4.118464286,9.087181404,2.992,182.12,285.69,130.34,77.67,72.23,182.12,74.41,196.47,0.32,182.12,74.31,196.25,0.32,182.12,74.36,196.36,0.32,0,2020152025
TiVNbTaW,5,0.322922591,0.048166378,-3.586984127,10.35867324,3,176.97,274.65,128.13,73.26,71.54,176.97,72.23,190.73,0.32,176.97,72.22,190.71,0.32,176.97,72.22,190.72,0.32,0,2020152520
TiVNbTaW,4.95,0.286,0.048072861,-2.915027778,12.40834351,3.006,169.08,261.95,122.64,69.66,65.43,169.08,67.12,177.82,0.32,169.08,67.05,177.68,0.32,169.08,67.09,177.75,0.32,0,2020252015
TiVNbTaW,5,0.317425582,0.048166378,-3.610984127,10.09129376,2.997,174.2,272.89,124.86,74.02,65.91,174.2,69.15,183.21,0.32,174.2,68.93,182.69,0.33,174.2,69.04,182.95,0.32,0,2020251520
TiVNbTaW,5.05,0.347633068,0.045152519,-4.295551587,8.800174115,3.004,181.63,285.39,129.75,77.82,71.8,181.63,74.21,195.93,0.32,181.63,74.09,195.67,0.32,181.63,74.15,195.8,0.32,0,2015202025
TiVNbTaW,5,0.323411116,0.044885967,-3.678884921,10.20221266,3.012,176.6,274.54,127.63,73.45,71.16,176.6,72.08,190.34,0.32,176.6,72.06,190.3,0.32,176.6,72.07,190.32,0.32,0,2015202520
TiVNbTaW,5,0.320740939,0.044885967,-3.690884921,10.07192575,3.011,175.14,273.53,125.94,73.8,68.38,175.14,70.54,186.58,0.32,175.14,70.44,186.35,0.32,175.14,70.49,186.46,0.32,0,2015252020
TiVNbTaW,4.95,0.285612937,0.05087976,-2.890988095,12.38133642,2.993,169.48,262.15,123.15,69.5,65.78,169.48,67.27,178.23,0.32,169.48,67.22,178.11,0.32,169.48,67.24,178.17,0.32,0,2025202015
TiVNbTaW,5,0.316873397,0.050643361,-3.502130952,10.29748238,2.985,174.72,273.22,125.47,73.87,66.31,174.72,69.34,183.71,0.32,174.72,69.14,183.25,0.33,174.72,69.24,183.48,0.32,0,2025201520
TiVNbTaW,5,0.319701032,0.050643361,-3.490130952,10.43559102,2.986,176.09,274.09,127.09,73.5,69.18,176.09,70.91,187.55,0.32,176.09,70.85,187.4,0.32,176.09,70.88,187.48,0.32,0,2025152020
TiVNbTaW,5.1,0.345298422,0.047159304,-4.274936508,8.880187899,2.995,184.98,293.09,130.92,81.08,70.49,184.98,74.73,197.58,0.32,184.98,74.38,196.76,0.32,184.98,74.55,197.17,0.32,0,1520202025
TiVNbTaW,5.05,0.321502722,0.047318073,-3.731269841,10.10203107,3.003,179.93,282.18,128.81,76.68,70.01,179.93,72.68,192.17,0.32,179.93,72.54,191.83,0.32,179.93,72.61,192,0.32,0,1520202520
TiVNbTaW,5.05,0.31874598,0.047318073,-3.749269841,9.957927276,3.002,178.45,281.15,127.1,77.02,67.37,178.45,71.23,188.6,0.32,178.45,70.93,187.89,0.32,178.45,71.08,188.24,0.32,0,1520252020
TiVNbTaW,5.05,0.318205515,0.049726753,-3.613416667,10.22815524,2.99,179.08,281.66,127.79,76.93,67.56,179.08,71.31,188.86,0.32,179.08,71.02,188.18,0.32,179.08,71.16,188.52,0.32,0,1525202020
TiVNbTaW,4.9,0.287219428,0.048826222,-2.811063492,12.67621978,3.002,166.18,254.3,122.13,66.08,66.74,166.18,66.47,175.96,0.32,166.18,66.47,175.96,0.32,166.18,66.47,175.96,0.32,0,2520202015
TiVNbTaW,4.95,0.318929459,0.048979588,-3.495206349,10.27192407,2.994,171.26,265.26,124.26,70.5,67.32,171.26,68.59,181.53,0.32,171.26,68.55,181.45,0.32,171.26,68.57,181.49,0.32,0,2520201520
TiVNbTaW,4.95,0.321669085,0.048979588,-3.489206349,10.39231792,2.995,172.72,266.16,126,70.08,70.17,172.72,70.14,185.32,0.32,172.72,70.14,185.32,0.32,172.72,70.14,185.32,0.32,0,2520152020
TiVNbTaW,4.95,0.322168822,0.045637156,-3.554107143,10.30844317,3.008,172.25,265.95,125.41,70.27,69.7,172.25,69.93,184.78,0.32,172.25,69.93,184.78,0.32,172.25,69.93,184.78,0.32,0,2515202020
TiVMoTaW,5.25,0.36132949,0.046593991,-3.842956349,9.746256657,2.958,199.34,327.93,135.04,96.44,75.76,199.34,84.04,221.04,0.32,199.34,82.87,218.36,0.32,199.34,83.45,219.7,0.32,0.01,2020201525
TiVMoTaW,5.15,0.338725553,0.048363209,-3.655519841,10.09891051,2.973,188.51,303.61,130.96,86.33,72.63,188.51,78.11,205.89,0.32,188.51,77.55,204.6,0.32,188.51,77.83,205.24,0.32,0,2020202515
TiVMoTaW,5.2,0.364466734,0.047357682,-4.036285714,9.3442277,2.967,195.51,316.9,134.81,91.04,76.27,195.51,82.18,216.24,0.32,195.51,81.56,214.82,0.32,195.51,81.87,215.53,0.32,0,2020152025
TiVMoTaW,5.15,0.352044031,0.048111849,-3.894805556,9.614635868,2.974,190.23,305.1,132.79,86.15,74.99,190.23,79.46,209.24,0.32,190.23,79.09,208.39,0.32,190.23,79.27,208.81,0.32,0,2020152520
TiVMoTaW,5.2,0.340523127,0.047799059,-3.608222222,10.15880719,2.963,191.71,313.71,130.72,91.5,71.8,191.71,79.68,209.95,0.32,191.71,78.57,207.37,0.32,191.71,79.12,208.66,0.32,0.01,2020252015
TiVMoTaW,5.25,0.35054101,0.046784078,-3.654178571,10.1046155,2.956,197.18,326.15,132.7,96.73,73.65,197.18,82.88,218.08,0.32,197.18,81.42,214.71,0.32,197.18,82.15,216.4,0.32,0.01,2020251520
TiVMoTaW,5.25,0.366912455,0.045307284,-4.235043651,9.017440978,2.971,199.87,327.78,135.92,95.93,77.65,199.87,84.96,223.26,0.31,199.87,84.06,221.17,0.32,199.87,84.51,222.22,0.31,0.01,2015202025
TiVMoTaW,5.2,0.35777472,0.04596466,-4.138376984,9.16311412,2.979,194.38,315.49,133.83,90.83,76.07,194.38,81.98,215.62,0.32,194.38,81.36,214.2,0.32,194.38,81.67,214.91,0.32,0,2015202520
TiVMoTaW,5.25,0.356110587,0.045563143,-4.029079365,9.346772126,2.969,197.76,326.02,133.62,96.2,75.58,197.76,83.83,220.35,0.31,197.76,82.67,217.68,0.32,197.76,83.25,219.01,0.32,0.01,2015252020
TiVMoTaW,5.15,0.334219613,0.049626102,-3.398480159,10.64650926,2.958,187.83,303.57,129.96,86.81,70.45,187.83,76.99,203.21,0.32,187.83,76.19,201.35,0.32,187.83,76.59,202.28,0.32,0.01,2025202015
TiVMoTaW,5.2,0.347713603,0.048525766,-3.489623016,10.44547961,2.951,193.04,315.41,131.86,91.78,72,193.04,79.91,210.66,0.32,193.04,78.79,208.07,0.32,193.04,79.35,209.37,0.32,0.01,2025201520
TiVMoTaW,5.15,0.34752374,0.049436828,-3.620952381,10.13885743,2.96,189.27,304.75,131.53,86.61,72.87,189.27,78.36,206.58,0.32,189.27,77.81,205.29,0.32,189.27,78.08,205.93,0.32,0,2025152020
TiVMoTaW,5.3,0.363316666,0.045343136,-3.948714286,9.711995081,2.963,204.03,336.92,137.58,99.67,76.91,204.03,86.01,226.25,0.32,204.03,84.64,223.08,0.32,204.03,85.33,224.66,0.32,0.01,1520202025
TiVMoTaW,5.25,0.354632204,0.046421978,-3.925047619,9.702062709,2.97,197.79,323.58,134.89,94.34,75.09,197.79,82.79,217.96,0.32,197.79,81.77,215.59,0.32,197.79,82.28,216.78,0.32,0.01,1520202520
TiVMoTaW,5.3,0.352532268,0.045527464,-3.755936508,10.06926613,2.961,201.82,335.17,135.14,100.01,74.89,201.82,84.94,223.47,0.32,201.82,83.26,219.58,0.32,201.82,84.1,221.52,0.32,0.01,1520252020
TiVMoTaW,5.25,0.349569378,0.047273142,-3.571194444,10.457633,2.956,197.33,323.84,134.07,94.89,73.14,197.33,81.84,215.7,0.32,197.33,80.52,212.65,0.32,197.33,81.18,214.18,0.32,0.01,1525202020
TiVMoTaW,5.1,0.337091976,0.049396356,-3.584777778,10.0484089,2.967,184.29,295.22,128.83,83.2,71.27,184.29,76.04,200.55,0.32,184.29,75.61,199.54,0.32,184.29,75.83,200.04,0.32,0,2520202015
TiVMoTaW,5.15,0.351027064,0.048692915,-3.748920635,9.68015918,2.959,189.49,306.93,130.76,88.08,72.7,189.49,78.85,207.74,0.32,189.49,78.16,206.13,0.32,189.49,78.5,206.93,0.32,0,2520201520
TiVMoTaW,5.1,0.350415468,0.049140106,-3.820063492,9.568344205,2.969,186.14,296.84,130.79,83.03,73.69,186.14,77.43,204,0.32,186.14,77.16,203.39,0.32,186.14,77.3,203.69,0.32,0,2520152020
TiVMoTaW,5.15,0.356023525,0.04699734,-4.043821429,9.155934903,2.974,190.23,307.08,131.8,87.64,74.82,190.23,79.95,210.37,0.32,190.23,79.47,209.27,0.32,190.23,79.71,209.82,0.32,0,2515202020
TiCrZrNbMo,5.05,0.294998305,0.115432881,-6.07549578,5.214408379,2.991,147.68,244.9,99.06,72.92,48.62,147.68,58.34,154.65,0.33,147.68,56.09,149.37,0.33,147.68,57.21,152.01,0.33,0.02,2020201525
TiCrZrNbMo,4.95,0.249319073,0.114029601,-5.360948161,5.873268687,3.01,139.64,225.56,96.68,64.44,46.05,139.64,53.41,142.1,0.33,139.64,51.98,138.74,0.33,139.64,52.69,140.42,0.33,0.01,2020202515
TiCrZrNbMo,5.1,0.284384862,0.107443008,-5.791781442,5.541126642,2.981,153.9,257.63,102.04,77.8,49.37,153.9,60.74,161.03,0.33,153.9,57.82,154.15,0.33,153.9,59.28,157.6,0.33,0.02,2020152025
TiCrZrNbMo,5.05,0.26454253,0.107026866,-5.531863532,5.783960631,2.99,149.61,247.23,100.79,73.22,47.64,149.61,57.87,153.78,0.33,149.61,55.38,147.88,0.34,149.61,56.62,150.84,0.33,0.02,2020152520
TiCrZrNbMo,4.9,0.257745514,0.120498963,-5.631433434,5.517851001,3.02,134.06,214.21,93.99,60.11,46.06,134.06,51.68,137.39,0.33,134.06,50.81,135.33,0.33,134.06,51.24,136.36,0.33,0.01,2020252015
TiCrZrNbMo,4.95,0.283557313,0.121460899,-6.083825047,5.123474778,3.011,137.81,223.31,95.06,64.13,46.9,137.81,53.79,142.79,0.33,137.81,52.55,139.86,0.33,137.81,53.17,141.33,0.33,0.01,2020251520
TiCrZrNbMo,5,0.295552026,0.109099725,-5.287014649,6.063625584,3.011,145.91,239.25,99.24,70,48.27,145.91,56.97,151.22,0.33,145.91,55.12,146.86,0.33,145.91,56.04,149.04,0.33,0.02,2015202025
TiCrZrNbMo,4.95,0.274836315,0.108124928,-4.851174623,6.588417487,3.02,142.05,229.88,98.13,65.87,47.11,142.05,54.61,145.23,0.33,142.05,53.16,141.8,0.33,142.05,53.89,143.52,0.33,0.01,2015202520
TiCrZrNbMo,4.9,0.283694818,0.114519649,-5.080871382,6.209306042,3.031,136.45,218.5,95.43,61.53,46.99,136.45,52.81,140.32,0.33,136.45,51.89,138.17,0.33,136.45,52.35,139.24,0.33,0.01,2015252020
TiCrZrNbMo,5,0.249301023,0.119953116,-6.297245878,4.939925862,2.989,141.36,231.03,96.52,67.25,46.16,141.36,54.6,145.11,0.33,141.36,52.78,140.81,0.33,141.36,53.69,142.96,0.33,0.02,2025202015
TiCrZrNbMo,5.05,0.274224361,0.120411793,-6.57334236,4.747180298,2.98,145.4,240.87,97.66,71.61,47.48,145.4,57.13,151.55,0.33,145.4,54.88,146.24,0.33,145.4,56.01,148.9,0.33,0.02,2025201520
